Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Ideal_Season,Age_Group_Suitability,Budget_Category,Recommended_Duration_Days,Ideal_Group_Size,Cluster
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,"Winter,Spring","Families,Kids,Adults",Budget,0.5 Day,Any,2
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,"Winter,Spring","Families,Kids,Adults",Budget,0.5 Day,Any,2
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,"Winter,Spring","Families,Kids,Adults",Mid-Range,0.5 Day,Any,2
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,"Winter,Spring","Adults,Young Adults",Mid-Range,1 Day,Any,6
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,All Seasons,"Young Adults,Adults",Mid-Range,0.5 Day,4+ people,10
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,,Religious,No,0.16,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,All Seasons,"Families,Kids,Adults",Premium,1 Day,2-4 people,9
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,All Seasons,"Families,Kids,Adults",Premium,1 Day,2-4 people,14
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"Winter,Spring,Summer",All Age Groups,Premium,0.5 Day,Any,13
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,Any,2
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,Any,2
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,All Seasons,"Adults,Young Adults",Premium,0.5 Day,Any,10
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,All Seasons,"Families,Kids,Adults",Mid-Range,0.5 Day,Any,12
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,Any,9
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Winter,Spring,Summer",All Age Groups,Mid-Range,0.5 Day,Any,5
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,"Winter,Spring,Summer","Adults,Young Adults",Premium,0.5 Day,Any,6
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,Any,2
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,"Winter,Spring,Summer","Adults,Young Adults",Mid-Range,0.5 Day,Any,6
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,"Winter,Spring,Summer","Young Adults,Adults",Premium,0.5 Day,Any,6
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.35,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.1,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.27,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,,Scenic,Yes,0.1,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.01,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,,Religious,No,0.59,Evening,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,All Seasons,"Young Adults,Adults",Premium,0.5 Day,4+ people,10
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,,Religious,No,0.39,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,All Seasons,"Adults,Young Adults",Premium,0.5 Day,Any,10
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,,Recreational,Yes,0.1,Evening,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,,Food,Yes,0.49,Night,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,All Seasons,"Adults,Young Adults",Premium,1 Day,Any,10
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,,Historical,Yes,0.51,All,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,,Wildlife,Yes,0.09,All,All Seasons,"Young Adults,Adults",Premium,0.5 Day,Any,10
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,,Religious,No,0.35,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,,Historical,Yes,0.64,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,,Historical,Yes,1.9,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,,Religious,No,0.05,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,,Historical,Yes,0.32,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,,Historical,Yes,1.5,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,,Nature,Yes,0.5,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,,Historical,Yes,0.3,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,,Cultural,Yes,0.17,Evening,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,,Artistic,Yes,0.5,All,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,,Nature,Yes,0.3,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,,Historical,Yes,0.1,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.46,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.059,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,,Wildlife,Yes,2.2,All,"Winter,Spring,Summer","Young Adults,Adults",Premium,0.5 Day,Any,6
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,"Winter,Spring,Summer","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,,Wildlife,Yes,0.1,All,"Winter,Spring,Summer","Adults,Young Adults",Mid-Range,0.5 Day,Any,0
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,,Recreational,Yes,0.1,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,,Historical,Yes,0.22,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,,Recreational,Yes,0.68,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,,Historical,Yes,0.11,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,,Nature,Yes,0.03,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,"Winter,Spring,Summer","Adults,Young Adults",Mid-Range,0.5 Day,Any,0
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,"Winter,Spring,Summer","Families,Kids,Adults",Premium,1 Day,2-4 people,2
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,,Historical,Yes,2.5,All,"Winter,Spring,Summer",All Age Groups,Mid-Range,0.5 Day,Any,13
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,,Historical,Yes,0.05,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,,Nature,Yes,0.03,Morning,"Winter,Spring,Summer","Young Adults,Adults",Budget,0.5 Day,Any,0
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,,Nature,Yes,0.09,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,,Nature,Yes,0.05,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,,Religious,No,0.2,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,"Winter,Spring,Summer","Young Adults,Adults",Budget,0.5 Day,Any,0
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.49,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,,Historical,Yes,0.25,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,,Wildlife,Yes,0.15,Morning,"Winter,Spring,Summer","Young Adults,Adults",Premium,0.5 Day,4+ people,6
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,,Religious,No,0.11,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
123,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,,Historical,Yes,1.2,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,8
124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,All Seasons,"Adults,Young Adults",Premium,0.5 Day,Any,10
126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,,Religious,No,0.1,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,,Religious,No,0.9,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
131,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,,Recreational,Yes,0.065,Evening,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Premium,0.5 Day,Any,6
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
